Age,Income,Monthly_Expenses,Existing_Investments,Financial_Goals,Risk_Tolerance,Family_Size,Debt_Obligations,Hobbies_Interests,Investment_Preferences
43,66016,4946,100957,Retirement,Low,3,24462,Cooking,Mutual Funds
32,97535,3018,111485,Buying a House,High,3,20190,Sports,Stocks
26,63646,2646,30580,Buying a House,Low,4,14756,Gaming,Mutual Funds
55,89624,5590,89135,Retirement,High,2,25388,Cooking,Real Estate
64,88565,5598,75136,Education,Medium,1,26596,Gaming,ETFs
39,74039,3048,67954,Retirement,Low,2,9268,Reading,Mutual Funds
20,100973,6578,49148,Buying a House,Medium,2,26866,Travel,ETFs
27,77153,3569,147062,Education,Medium,3,18488,Sports,ETFs
65,91681,4127,67780,Buying a House,Medium,1,20247,Reading,Real Estate
35,65105,3873,252,Education,High,1,11157,Reading,Real Estate
33,60531,4785,113214,Buying a House,Medium,3,16000,Cooking,Stocks
31,89622,4407,136259,Education,Medium,2,9698,Gaming,Bonds
42,83616,4386,60199,Education,Medium,3,9217,Sports,Mutual Funds
34,79866,2470,72016,Education,High,4,23770,Reading,Real Estate
47,68126,1467,67547,Education,Medium,1,16448,Cooking,Mutual Funds
53,105984,5713,82667,Buying a House,Medium,4,7003,Sports,ETFs
21,52668,3181,155342,Buying a House,Low,3,41770,Gaming,Bonds
51,51573,3926,94297,Education,High,1,8753,Reading,Stocks
42,93843,4490,141979,Education,Medium,4,30921,Reading,Mutual Funds
41,92201,6443,51558,Buying a House,Low,4,5235,Reading,Bonds
44,82075,4242,80815,Education,High,2,24565,Sports,Stocks
41,69240,3407,147700,Education,High,1,17494,Sports,Mutual Funds
41,85048,3214,59719,Education,High,4,13709,Sports,Bonds
68,109416,3943,150606,Retirement,High,4,21967,Sports,Real Estate
61,125310,2635,68580,Education,High,2,20622,Cooking,Mutual Funds
25,41871,4043,83916,Retirement,High,4,11875,Travel,Bonds
34,66621,3921,183508,Education,Medium,4,11422,Cooking,Stocks
62,65364,6462,78209,Buying a House,Medium,4,4260,Reading,Bonds
56,107530,3874,107267,Retirement,Medium,2,23055,Cooking,Real Estate
52,25374,1113,130821,Retirement,Medium,4,7461,Gaming,Mutual Funds
27,85276,8010,111325,Education,Low,4,20039,Sports,Mutual Funds
63,69863,5435,112752,Education,Medium,1,25924,Gaming,Mutual Funds
63,107762,7123,97173,Retirement,High,1,22080,Gaming,Real Estate
24,105020,2264,34888,Buying a House,Medium,2,12768,Reading,Stocks
58,82310,3667,117414,Buying a House,Medium,3,29088,Sports,Mutual Funds
23,43405,5011,63376,Education,High,1,15920,Gaming,Stocks
25,63522,4804,138788,Buying a House,Medium,2,6658,Reading,Bonds
64,65712,4460,168603,Buying a House,Medium,4,17162,Sports,Stocks
51,48470,700,9722,Education,Medium,4,25867,Travel,Stocks
49,98091,1431,168690,Buying a House,Low,2,13255,Reading,Mutual Funds
66,45931,6276,79447,Education,Medium,4,28781,Cooking,ETFs
54,114306,6542,93452,Retirement,High,4,12296,Sports,ETFs
59,114256,3840,54380,Education,High,3,13657,Gaming,Real Estate
35,67298,6085,109423,Retirement,Medium,4,9539,Gaming,Real Estate
32,81569,2465,103340,Retirement,Medium,1,26837,Cooking,ETFs
69,73554,2808,153846,Buying a House,Medium,4,19467,Cooking,Bonds
61,93036,2346,62930,Buying a House,High,2,10202,Gaming,Mutual Funds
49,100493,2725,183040,Buying a House,High,3,16037,Sports,Mutual Funds
38,80159,5084,133235,Education,Low,4,-10711,Reading,Bonds
36,84382,2706,104548,Buying a House,Low,2,27779,Cooking,Bonds
38,62587,7359,90960,Retirement,Low,1,18292,Cooking,ETFs
47,83734,4690,84671,Buying a House,High,4,-4062,Cooking,Real Estate
45,78255,5626,87932,Buying a House,Low,3,5433,Travel,Bonds
56,56764,4734,108420,Education,Medium,4,15784,Sports,Real Estate
45,74719,5821,89550,Education,Medium,2,6858,Sports,Stocks
42,67336,2698,67973,Retirement,High,3,27933,Sports,Mutual Funds
28,62810,6170,108722,Education,Low,4,24185,Sports,ETFs
31,52070,4211,58185,Buying a House,Medium,1,23595,Sports,Mutual Funds
20,76250,5813,116123,Education,High,3,-6043,Gaming,ETFs
20,59390,1840,88846,Retirement,Low,1,14745,Cooking,Stocks
66,65577,4270,134836,Buying a House,Medium,2,13023,Gaming,Mutual Funds
53,96502,4217,149453,Retirement,Low,4,10459,Travel,Stocks
51,87642,3071,149434,Education,High,1,15848,Reading,ETFs
67,55424,4469,115905,Education,Low,2,8737,Cooking,Bonds
44,82037,6309,121741,Retirement,High,4,22152,Travel,Mutual Funds
59,77655,2955,83862,Buying a House,Low,2,27665,Gaming,Stocks
64,109033,5442,133881,Education,Medium,1,26803,Reading,Mutual Funds
20,102662,2308,139525,Education,High,2,18620,Travel,Mutual Funds
35,44325,7164,21633,Buying a House,High,3,39992,Reading,Mutual Funds
58,92222,5176,118917,Education,High,4,31399,Travel,Real Estate
24,100303,6587,168406,Retirement,Low,2,18984,Gaming,Stocks
41,86187,5008,82185,Education,Low,1,15177,Reading,Stocks
48,68291,4585,71272,Education,Medium,4,33380,Travel,Mutual Funds
22,123267,5189,79006,Buying a House,High,3,30075,Gaming,Bonds
31,88028,3795,24756,Retirement,High,4,5895,Cooking,Mutual Funds
45,114530,1573,106299,Buying a House,Low,3,30858,Gaming,Real Estate
35,102029,4671,101498,Education,Low,4,18456,Gaming,ETFs
56,84282,2866,109851,Education,Medium,2,11390,Cooking,Real Estate
41,63405,2347,120798,Buying a House,Medium,2,207,Gaming,Bonds
48,74517,4954,60100,Buying a House,Low,1,17310,Cooking,Mutual Funds
33,70561,3581,113659,Buying a House,High,3,19877,Cooking,Stocks
47,50709,5541,122159,Retirement,Medium,1,35873,Cooking,Mutual Funds
24,88005,2816,75580,Education,Low,2,29572,Travel,Bonds
66,106347,3293,121005,Buying a House,Low,3,14171,Reading,Stocks
68,69033,5725,104035,Education,High,1,23893,Travel,Real Estate
49,118273,4419,68440,Retirement,Low,1,28262,Cooking,ETFs
65,43848,1784,114139,Retirement,Low,1,20859,Reading,ETFs
24,96087,4386,85464,Retirement,Medium,1,14128,Reading,Mutual Funds
31,108430,6221,134853,Retirement,Low,1,14678,Cooking,Real Estate
35,70919,3282,88041,Education,Low,3,23854,Reading,Bonds
45,71278,4897,35511,Retirement,Medium,1,24129,Reading,ETFs
45,95855,2725,113349,Retirement,High,3,17070,Travel,Real Estate
67,85119,3794,111470,Buying a House,High,1,-6191,Reading,Mutual Funds
40,35051,5634,45943,Retirement,Medium,2,7094,Cooking,Stocks
58,58132,4328,137526,Buying a House,Medium,2,26196,Sports,Mutual Funds
55,74729,5933,134911,Retirement,High,1,-1308,Sports,Mutual Funds
52,47606,4637,56500,Retirement,High,4,31841,Sports,Real Estate
49,65516,7328,67018,Buying a House,High,2,30361,Cooking,ETFs
56,48106,1652,92899,Retirement,High,3,20410,Sports,Real Estate
42,67596,3674,62057,Education,High,1,25979,Travel,Stocks
29,68267,2373,132019,Education,Medium,3,25287,Cooking,Real Estate
24,82035,2475,107448,Retirement,Low,4,18831,Cooking,Bonds
55,73164,2489,45322,Education,High,1,6261,Cooking,Mutual Funds
53,85055,4251,58876,Buying a House,High,2,29672,Reading,ETFs
50,82670,4339,159385,Retirement,Low,3,34072,Reading,Stocks
29,95626,4641,176778,Retirement,Low,2,7914,Reading,Mutual Funds
38,92475,2315,126936,Buying a House,Low,2,5887,Gaming,Real Estate
51,90362,3513,89436,Buying a House,Low,1,18632,Travel,Bonds
20,137097,2553,78001,Buying a House,Low,3,13737,Cooking,Real Estate
24,81948,5403,127484,Retirement,Low,4,21449,Cooking,Mutual Funds
64,126871,2694,103796,Buying a House,Medium,2,32079,Reading,Stocks
23,83244,3679,19496,Buying a House,Low,1,-2456,Cooking,ETFs
35,73342,4840,151593,Education,Low,1,35812,Cooking,Mutual Funds
43,67536,3076,167290,Education,Medium,4,15933,Sports,Stocks
35,105194,5040,136862,Retirement,Low,1,25117,Cooking,Mutual Funds
21,107810,6394,45419,Education,High,2,26187,Gaming,Bonds
68,86995,4284,68158,Education,High,1,27353,Reading,Real Estate
47,97670,5352,7114,Buying a House,Low,3,20619,Travel,ETFs
51,49455,889,179802,Buying a House,Medium,3,22955,Travel,Stocks
46,44024,3356,82163,Education,High,2,22890,Sports,ETFs
39,99926,4277,216664,Education,Medium,3,13697,Travel,ETFs
43,72463,2420,197761,Education,High,4,2419,Travel,ETFs
31,89986,4311,54828,Retirement,Low,1,7808,Reading,Stocks
69,60654,5589,64586,Retirement,Medium,2,18957,Reading,Stocks
54,108139,1180,123309,Retirement,Medium,4,12131,Gaming,ETFs
52,44191,2216,12272,Education,Medium,1,12155,Sports,Real Estate
52,47288,4277,78087,Education,High,4,37992,Travel,Mutual Funds
62,103886,4690,73092,Retirement,High,2,28588,Gaming,ETFs
56,22803,5107,192558,Retirement,High,2,17479,Sports,Bonds
31,82571,4166,108050,Education,Low,4,26720,Travel,ETFs
22,72853,4692,85761,Buying a House,High,1,15797,Travel,Stocks
20,60280,5355,68425,Retirement,Low,3,21107,Reading,Mutual Funds
52,71001,3378,144702,Education,Medium,3,24416,Cooking,Bonds
59,58049,3087,75164,Education,Medium,4,15823,Sports,Mutual Funds
29,105845,3747,97485,Buying a House,Low,2,13147,Travel,Mutual Funds
62,111089,4299,68043,Education,High,1,32239,Sports,Bonds
63,61285,3012,24123,Education,Low,1,26141,Gaming,ETFs
48,80510,3409,50198,Retirement,Medium,2,-2546,Gaming,ETFs
32,48498,4596,74901,Retirement,Medium,3,13318,Cooking,ETFs
31,96461,4236,86837,Buying a House,Low,1,12187,Travel,Real Estate
50,95940,3721,89028,Buying a House,High,4,13788,Reading,ETFs
65,69094,1388,95554,Education,High,3,28624,Travel,Bonds
21,75337,3994,75565,Retirement,Low,4,20192,Sports,Real Estate
69,73124,2544,167456,Buying a House,Low,3,6103,Gaming,ETFs
54,42630,5474,147399,Buying a House,High,2,16167,Sports,Real Estate
42,105920,3536,93244,Buying a House,Medium,4,25417,Cooking,Bonds
36,59660,2505,112712,Education,Low,4,17803,Gaming,ETFs
45,59797,3907,81395,Retirement,High,2,13553,Reading,Stocks
27,71991,5906,-42174,Buying a House,High,4,23312,Gaming,Bonds
48,94910,4946,101024,Retirement,Medium,3,36181,Travel,Mutual Funds
45,63173,4329,115280,Buying a House,Medium,1,24614,Travel,Mutual Funds
29,35956,2010,19366,Buying a House,Medium,1,33009,Gaming,Bonds
45,57260,6432,124970,Retirement,Medium,2,14223,Cooking,Mutual Funds
53,83482,3067,85971,Retirement,Medium,3,19916,Travel,Bonds
60,118795,5400,116896,Retirement,Low,4,19714,Travel,Stocks
26,49801,3511,87480,Education,High,4,21186,Reading,Bonds
23,49069,5256,162547,Buying a House,Low,1,24405,Gaming,ETFs
69,44748,5960,111311,Education,Low,4,10810,Travel,ETFs
64,42265,4972,150120,Retirement,Low,1,26473,Cooking,Real Estate
30,99113,5133,154236,Buying a House,Low,2,3721,Sports,Mutual Funds
48,104893,3852,44022,Education,Low,4,6642,Gaming,Mutual Funds
55,78555,3349,63049,Buying a House,Medium,3,41356,Reading,Bonds
44,65645,4207,122580,Education,Medium,4,14898,Travel,Mutual Funds
40,110822,3490,81723,Retirement,High,1,27295,Cooking,ETFs
55,78478,7700,88069,Education,Low,2,36982,Gaming,Stocks
29,96788,2511,164328,Buying a House,High,1,-3144,Cooking,Bonds
56,64671,5503,84481,Buying a House,Medium,4,31262,Cooking,Mutual Funds
28,75884,4775,51553,Buying a House,Medium,1,26489,Reading,ETFs
43,50253,4344,58309,Buying a House,Medium,1,36403,Gaming,Real Estate
54,87584,6219,209117,Retirement,Low,2,8184,Travel,Mutual Funds
68,78818,4447,91089,Education,Low,3,34512,Reading,Stocks
54,57108,3047,31787,Retirement,Medium,4,12605,Travel,Stocks
67,57377,4437,11527,Retirement,High,2,30547,Sports,Mutual Funds
55,107319,3725,68768,Retirement,High,3,19639,Cooking,Mutual Funds
37,114433,4754,90173,Buying a House,Medium,1,27707,Sports,ETFs
68,70737,5219,147458,Buying a House,High,3,20488,Cooking,Mutual Funds
58,76355,2711,142617,Buying a House,Medium,1,1605,Reading,Real Estate
51,83002,5793,99682,Education,High,1,-11205,Travel,ETFs
43,77960,3617,77291,Buying a House,Medium,2,22099,Travel,Bonds
42,41514,4665,116980,Education,High,1,17362,Reading,Real Estate
51,83557,4925,12562,Buying a House,Low,2,23982,Gaming,ETFs
56,33242,4551,199054,Buying a House,Medium,3,17478,Sports,ETFs
31,60346,3836,132705,Retirement,Medium,3,40180,Sports,Stocks
68,85108,3267,143349,Retirement,High,1,22305,Travel,ETFs
32,86999,3596,46292,Retirement,Medium,2,15530,Travel,Real Estate
42,58798,6347,164132,Education,Medium,1,23373,Travel,Mutual Funds
44,65831,2701,76999,Education,Medium,2,15713,Reading,Real Estate
54,63123,2921,52372,Buying a House,Low,2,20929,Gaming,Bonds
60,72943,2855,98041,Education,Low,2,7825,Sports,ETFs
49,74464,4203,96872,Buying a House,High,3,19914,Cooking,ETFs
36,88369,1712,46073,Education,Low,2,15221,Reading,ETFs
68,64662,1969,55253,Education,High,3,8772,Sports,ETFs
39,82467,3608,51338,Education,Low,2,39757,Gaming,Stocks
67,85140,2068,51814,Retirement,High,3,9162,Reading,Stocks
44,78965,2190,80595,Education,Low,4,20069,Sports,Mutual Funds
41,69807,2079,30550,Retirement,Low,3,11971,Reading,ETFs
32,78612,2730,65431,Retirement,High,3,22970,Sports,Bonds
38,90034,5096,152256,Education,Medium,1,7256,Sports,Mutual Funds
68,91783,5433,141165,Buying a House,Medium,2,28403,Gaming,ETFs
55,111307,6878,47506,Buying a House,Low,4,40361,Cooking,Stocks
31,55199,6823,147910,Buying a House,High,1,11604,Gaming,Bonds
60,66199,5179,1678,Education,Medium,2,32169,Sports,Mutual Funds
38,42730,5541,221457,Buying a House,High,4,16181,Reading,Bonds
31,93620,4196,165015,Retirement,Medium,4,35057,Gaming,ETFs
28,68309,4779,72013,Buying a House,High,4,41884,Cooking,Real Estate
26,79123,6915,119121,Education,Low,2,17662,Sports,Bonds
47,62913,4556,29954,Buying a House,High,4,4797,Gaming,Bonds
33,68465,5729,103022,Retirement,Medium,4,29480,Gaming,Stocks
50,99463,2598,90816,Education,Low,1,22244,Gaming,ETFs
38,88884,3000,58261,Buying a House,High,3,25017,Gaming,Bonds
66,72769,4468,76572,Education,Medium,2,16601,Reading,ETFs
35,90356,4224,71650,Education,Low,3,11155,Cooking,Stocks
24,90798,3070,43413,Education,High,1,31603,Cooking,ETFs
54,67171,7611,57092,Buying a House,Medium,3,23197,Sports,Stocks
31,45618,4258,27907,Education,High,4,5564,Travel,Stocks
44,57016,3335,142866,Buying a House,High,4,26868,Reading,Mutual Funds
40,48189,4227,53394,Retirement,Low,2,24861,Sports,ETFs
55,98288,4038,38898,Buying a House,Low,2,16747,Sports,Real Estate
42,101762,4281,142075,Retirement,Medium,2,36198,Gaming,Mutual Funds
35,106727,1609,118481,Buying a House,Low,1,13818,Travel,Stocks
58,34608,5937,140225,Education,Medium,2,18310,Travel,Real Estate
64,96428,6023,145804,Buying a House,High,1,27686,Reading,Bonds
61,119243,6205,196872,Education,High,4,20767,Travel,Bonds
58,97239,4488,92198,Retirement,Medium,3,6155,Sports,Mutual Funds
33,31975,4993,27119,Buying a House,High,4,21837,Travel,Real Estate
50,110365,2700,113551,Education,Low,4,15856,Travel,ETFs
24,75833,5249,66549,Retirement,High,4,28569,Cooking,Real Estate
54,70352,4377,52124,Retirement,Low,2,21512,Sports,Mutual Funds
42,84021,3309,104996,Buying a House,Medium,2,20945,Travel,ETFs
48,54019,5297,143287,Retirement,Medium,2,9517,Travel,ETFs
62,75055,5355,58200,Education,High,3,17699,Gaming,Bonds
30,107408,4090,163719,Retirement,High,2,29701,Travel,Real Estate
37,87447,4657,50519,Retirement,Low,1,12234,Travel,ETFs
66,76168,2452,87804,Education,Low,4,19674,Cooking,Mutual Funds
31,76792,5864,119315,Retirement,High,3,10635,Sports,Bonds
28,51372,2651,80605,Retirement,High,3,8161,Reading,ETFs
29,72000,2941,11199,Retirement,Medium,3,19151,Sports,Real Estate
63,42314,4093,146370,Retirement,Medium,3,21738,Gaming,Bonds
36,95448,5671,68826,Education,Medium,3,39938,Sports,Real Estate
57,31285,5670,137244,Retirement,High,1,15445,Travel,Real Estate
26,92098,3992,36792,Education,High,4,19498,Gaming,Real Estate
65,94588,5159,45328,Retirement,High,3,7499,Sports,Bonds
32,101375,1466,143121,Retirement,Medium,4,26122,Gaming,ETFs
59,76737,2921,117025,Retirement,High,2,23980,Reading,Stocks
61,93332,2951,78070,Retirement,Low,3,34883,Sports,ETFs
28,71805,5878,117751,Education,High,3,31116,Travel,Bonds
69,51266,4981,52298,Education,High,4,23514,Gaming,Stocks
46,105614,4276,105512,Education,High,3,15299,Cooking,Stocks
21,73062,4422,106427,Buying a House,High,3,22046,Gaming,Stocks
24,46809,6352,81310,Retirement,High,3,18889,Cooking,Mutual Funds
48,65663,3744,58235,Retirement,Low,1,29533,Travel,Bonds
56,66453,2028,103512,Education,Low,1,28262,Reading,Mutual Funds
57,84233,5630,97250,Buying a House,High,3,17035,Cooking,Stocks
38,121940,4272,76708,Retirement,Medium,1,5380,Reading,Mutual Funds
27,85448,5430,48309,Education,High,2,33333,Gaming,Mutual Funds
67,79136,3932,100623,Retirement,High,3,25818,Travel,Bonds
64,124115,2741,76833,Retirement,High,2,16805,Cooking,Real Estate
20,94577,4604,48267,Education,Medium,4,25428,Gaming,Mutual Funds
41,80084,4015,102176,Education,Medium,2,20748,Sports,Mutual Funds
36,65411,4277,180415,Retirement,Medium,4,33186,Gaming,Stocks
26,81324,6424,81658,Retirement,Low,3,702,Reading,Stocks
44,73672,2351,174888,Education,Medium,4,16028,Travel,Stocks
64,76828,4428,205716,Retirement,Low,4,35990,Travel,ETFs
23,101288,2771,52329,Retirement,Low,2,25631,Gaming,Mutual Funds
55,64193,114,100452,Education,Medium,2,37726,Sports,Stocks
25,85270,3926,205186,Retirement,Medium,2,7781,Reading,Bonds
50,93978,4046,93946,Retirement,Medium,3,30721,Gaming,ETFs
38,61757,4935,101840,Buying a House,Low,3,30122,Gaming,Real Estate
63,58547,3673,16499,Education,High,2,3182,Travel,Mutual Funds
58,71993,1766,73416,Buying a House,Medium,3,17044,Reading,Mutual Funds
46,65767,2766,127779,Buying a House,Medium,3,18934,Sports,Bonds
29,98046,5975,221464,Buying a House,Medium,4,3804,Travel,Real Estate
45,54964,2745,90199,Retirement,Low,4,17253,Gaming,Real Estate
38,76369,6374,16868,Retirement,Low,2,28731,Travel,ETFs
58,125920,5574,29737,Buying a House,High,3,16090,Travel,Mutual Funds
22,83261,3523,98210,Buying a House,Medium,4,22421,Cooking,Stocks
64,86585,2906,158860,Buying a House,Low,1,22493,Travel,Bonds
32,98213,5571,131867,Retirement,High,3,19878,Travel,Bonds
69,65741,3638,123012,Buying a House,Medium,1,12948,Reading,Bonds
47,53371,1681,165457,Buying a House,Low,2,26588,Travel,Bonds
39,78530,4843,63988,Education,Medium,3,4129,Sports,Stocks
47,80308,4625,100954,Education,Medium,2,20085,Gaming,Stocks
27,42635,5706,73980,Retirement,Low,2,33854,Reading,ETFs
60,82501,4524,86427,Education,Low,2,15526,Travel,Mutual Funds
58,96397,3176,49686,Education,Low,2,12726,Sports,Stocks
20,56741,5904,82801,Education,Medium,2,27255,Gaming,ETFs
22,83711,6050,98614,Retirement,Medium,3,21634,Reading,Real Estate
32,92845,4349,81426,Education,High,1,27454,Sports,Mutual Funds
47,86733,4090,91946,Retirement,Medium,3,20384,Travel,Stocks
68,88620,2015,120252,Buying a House,Low,3,-3882,Cooking,Real Estate
44,70103,3088,161934,Education,Medium,3,31799,Cooking,ETFs
52,52449,5141,165557,Retirement,High,4,40700,Reading,Stocks
57,66057,3164,138071,Education,High,4,32840,Sports,Stocks
25,63278,1814,37000,Buying a House,Low,3,-15388,Gaming,Real Estate
63,73394,9243,81979,Retirement,Low,1,24510,Sports,Stocks
64,96865,1804,86285,Retirement,High,3,15332,Cooking,Bonds
51,48763,7385,67142,Retirement,High,2,9157,Reading,Stocks
64,77885,3538,117117,Buying a House,High,4,21227,Travel,Mutual Funds
66,53731,3873,20283,Buying a House,Low,4,18510,Sports,Real Estate
40,60199,2991,184678,Buying a House,High,3,25086,Cooking,Mutual Funds
35,86174,5174,159761,Retirement,High,3,20565,Gaming,ETFs
40,51201,1840,123910,Buying a House,Low,1,8791,Reading,Mutual Funds
30,89684,1239,96894,Education,Medium,1,14233,Travel,Bonds
56,47956,6415,161441,Buying a House,Medium,2,12620,Sports,Bonds
55,88339,2794,134470,Retirement,High,3,2835,Gaming,Mutual Funds
54,44009,5119,155331,Education,Medium,3,6283,Travel,ETFs
38,62643,2371,97047,Buying a House,Medium,3,17889,Cooking,Stocks
39,112929,5062,189465,Education,Medium,4,34237,Cooking,Bonds
37,109170,6525,158344,Education,Medium,2,14644,Gaming,Mutual Funds
66,66749,3209,125476,Retirement,High,1,12425,Cooking,Mutual Funds
60,82799,1099,162798,Education,Medium,4,8187,Reading,Mutual Funds
68,99081,6533,79041,Education,Medium,4,20305,Gaming,Stocks
33,88625,5389,41624,Retirement,Low,4,31792,Cooking,Real Estate
34,69530,3289,116077,Retirement,High,4,40026,Sports,ETFs
50,60027,3673,97145,Retirement,Low,2,22853,Cooking,Real Estate
20,92362,2334,90114,Education,Low,3,21399,Reading,ETFs
22,97614,6130,160815,Education,High,1,14565,Travel,ETFs
35,109314,3197,108356,Education,Medium,1,16234,Travel,Mutual Funds
42,41255,1871,113178,Retirement,Low,4,26291,Cooking,Bonds
30,49937,4320,83647,Buying a House,High,4,16851,Travel,Mutual Funds
31,98238,2709,144056,Education,Medium,2,18377,Cooking,Stocks
29,43969,2454,135093,Buying a House,High,4,19746,Reading,ETFs
51,99770,3354,143682,Retirement,Low,1,14091,Travel,Bonds
35,70701,4129,75136,Education,Medium,1,19250,Sports,ETFs
27,64581,1928,165204,Buying a House,Medium,3,-194,Cooking,ETFs
57,79108,6077,191938,Education,High,3,25488,Travel,Mutual Funds
31,48092,5015,142101,Education,Medium,1,43517,Reading,Bonds
43,91480,3451,59535,Education,Low,1,14479,Reading,Bonds
47,108792,2644,59889,Buying a House,Low,2,23738,Sports,ETFs
27,92411,3866,81231,Retirement,Low,2,28515,Reading,Bonds
47,70069,5349,71781,Education,High,1,32802,Reading,Bonds
55,44239,5116,96445,Retirement,Medium,4,17356,Travel,Mutual Funds
45,45008,5587,131622,Retirement,Medium,3,1966,Cooking,Real Estate
27,48407,3279,114497,Buying a House,Medium,1,22672,Gaming,Stocks
69,74754,-387,110114,Buying a House,Low,4,21286,Reading,Real Estate
47,77268,5871,87939,Retirement,Medium,1,16543,Reading,Bonds
47,92368,3749,96307,Education,Low,3,18664,Gaming,ETFs
56,39079,4999,139828,Buying a House,Medium,3,21436,Reading,Stocks
60,101224,6503,-597,Education,Low,2,23617,Travel,Stocks
55,88888,7651,99430,Education,Medium,2,23198,Travel,ETFs
46,68463,3025,114399,Education,High,2,17823,Gaming,Stocks
36,51204,4200,139179,Retirement,High,2,23842,Reading,ETFs
28,99982,6050,49497,Education,Low,3,17149,Reading,Stocks
52,68998,2733,46854,Retirement,Low,4,26420,Cooking,Real Estate
39,74599,3126,129197,Retirement,Medium,4,13725,Reading,Stocks
32,82672,3117,4777,Education,Medium,4,20730,Travel,Mutual Funds
47,56736,3957,166609,Education,High,1,3762,Sports,ETFs
67,69356,3669,111329,Education,Medium,2,16300,Sports,Stocks
48,92306,3109,177936,Education,Low,2,25674,Sports,ETFs
32,90281,2551,45646,Retirement,Low,3,9662,Sports,Mutual Funds
65,90462,5217,78182,Education,Low,3,16798,Reading,Stocks
54,51896,6006,-20393,Education,Low,1,-4050,Reading,Stocks
25,70268,6224,60215,Retirement,Low,1,6319,Cooking,Mutual Funds
37,67072,3278,90807,Buying a House,High,4,8935,Reading,Mutual Funds
24,83503,5280,1864,Buying a House,High,3,21017,Sports,Mutual Funds
66,81713,4354,80268,Retirement,Low,2,23334,Gaming,ETFs
44,78108,3143,632,Buying a House,Medium,4,19439,Gaming,Mutual Funds
21,124314,5101,87126,Retirement,Low,2,16174,Travel,ETFs
29,69183,3075,157355,Education,High,4,16208,Travel,Real Estate
49,66843,3435,98251,Education,Low,2,27160,Reading,Stocks
69,51865,1934,182910,Buying a House,High,1,22128,Gaming,Stocks
64,44243,3303,139314,Education,High,4,16660,Sports,Bonds
24,50593,4380,167407,Buying a House,Low,2,32932,Sports,Real Estate
52,60626,6353,61752,Buying a House,Low,2,39499,Sports,Mutual Funds
20,101201,3469,60542,Education,Medium,3,7542,Reading,Mutual Funds
37,75783,2442,117280,Education,High,4,25225,Reading,Real Estate
51,78866,6246,21114,Buying a House,Medium,2,50898,Cooking,Mutual Funds
66,73074,3243,123557,Education,Low,3,22802,Sports,Bonds
68,82306,1377,83804,Retirement,High,2,21154,Sports,ETFs
30,103041,4199,166499,Education,Medium,4,19442,Reading,Stocks
40,35121,3512,133975,Education,Medium,1,24901,Reading,Real Estate
45,99366,7450,154835,Retirement,Medium,4,27548,Cooking,Stocks
44,24699,4713,62289,Education,Low,4,7552,Cooking,ETFs
41,75564,3780,152410,Education,Low,2,19735,Travel,Real Estate
46,118838,2613,172235,Buying a House,Low,2,-2694,Gaming,ETFs
68,88613,4495,98064,Education,High,4,17906,Sports,Mutual Funds
32,82461,6185,63032,Education,Low,3,10973,Sports,Mutual Funds
52,115038,4467,63910,Retirement,High,3,23391,Cooking,Mutual Funds
53,60938,2728,161950,Buying a House,Medium,3,3436,Cooking,ETFs
60,83679,4808,234217,Buying a House,Medium,2,14876,Travel,ETFs
54,86562,3927,50917,Buying a House,Low,2,29665,Gaming,ETFs
20,64551,4672,47073,Education,Medium,4,13236,Travel,Stocks
40,66317,3467,146070,Buying a House,Low,1,950,Gaming,ETFs
67,64124,3432,62304,Retirement,High,2,22575,Sports,Mutual Funds
25,76746,3373,150917,Buying a House,Medium,4,14134,Travel,Bonds
47,85933,5413,123267,Retirement,Low,4,18141,Cooking,ETFs
36,77464,3447,98801,Buying a House,Medium,1,12701,Travel,Bonds
24,89189,3310,122063,Buying a House,Medium,3,39743,Travel,Mutual Funds
50,35617,2586,119009,Retirement,Low,4,4419,Sports,ETFs
24,70634,4681,91019,Buying a House,Medium,4,48334,Cooking,Stocks
57,54531,4467,12181,Buying a House,Medium,4,16093,Cooking,Stocks
22,81034,3326,108932,Buying a House,Medium,3,21834,Reading,Bonds
42,80738,2935,178653,Education,Medium,3,14252,Reading,Stocks
56,72687,6814,19561,Retirement,High,1,13833,Reading,Stocks
56,85205,1179,51710,Buying a House,Medium,2,12151,Sports,Stocks
29,94956,4739,121341,Retirement,Medium,3,26012,Travel,Mutual Funds
29,73789,5937,101929,Retirement,Low,2,5892,Cooking,Stocks
38,53966,-1080,120559,Retirement,High,2,23641,Cooking,Real Estate
36,43374,5191,65034,Buying a House,Low,3,-1844,Travel,ETFs
40,75722,3669,158122,Buying a House,Low,4,22735,Cooking,Stocks
33,79837,4384,102345,Retirement,Low,1,28491,Travel,Stocks
28,55609,3515,134849,Education,High,2,7254,Sports,Stocks
65,89515,5613,116013,Retirement,Low,4,26787,Sports,Real Estate
20,65820,4544,108774,Education,Low,3,20513,Sports,Stocks
64,41871,4197,131341,Retirement,Low,2,35984,Travel,Stocks
32,100128,2651,109324,Retirement,Medium,2,11447,Travel,ETFs
23,97879,6823,40490,Retirement,Low,2,48159,Gaming,Real Estate
20,34688,4014,154367,Buying a House,High,4,-3907,Cooking,Real Estate
68,63747,7434,140906,Education,High,4,16704,Cooking,Stocks
59,62968,6891,-5342,Education,Medium,4,3014,Gaming,Real Estate
